Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q1_11_TEXT,Q3,Q5,Q5_17_TEXT,Q25,Q25_17_TEXT,Q22,Q22_10_TEXT,Q7,Q26,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
206,TRUE,2/7/2024 7:32,R_7rDoHpB1846ROLj,Other [please explain below],RBHAO,"Windham,New London","Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues",,Communication with colleagues,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Other [please explain below]",Prevention efforts ,Other staff,My organization does not receive external funding for overdose prevention,Other,No,Informing the public,Peer information sharing,Lower overdose burden,Platform information,Passive
353,TRUE,2/7/2024 7:53,R_3Yy3njMM9nBQPMT,Substance use treatment program,,New London,"Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from local health governance,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff,Medical providers,First responders,Paramedics","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Platform information,Passive
212,TRUE,2/7/2024 8:39,R_1CUr25pshH1RUkL,State/federal government,,Fairfield,Communication with colleagues,,I don’t receive updates or information about overdoses,,"Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,I am not sure,My organization does not receive external funding for overdose prevention,Government and health district,Yes,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,Peer information sharing,Collaborative
102,TRUE,2/7/2024 9:21,R_1sSzv1Gb4qEC5ev,Other [please explain below],,Hartford,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,I am not sure,,Other,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
297,TRUE,2/7/2024 9:47,R_6CEI6L4Iqjodp7Q,Police department,,Hartford,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Notify people who use drugs about recent overdoses,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites,Other [please explain below]",Use narcan on people overdosing ,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Paramedics",,First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
149,TRUE,2/7/2024 10:01,R_1FIlxai3TmbN4Cy,Other [please explain below],Community College,"Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Insights from harm reduction services",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,My organization does not respond to overdoses,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,Other,No,My organization does not respond to overdoses,Peer information sharing,Higher overdose burden,State alerts,Passive
118,TRUE,2/7/2024 10:01,R_5aIxuirrWn9whPa,Other [please explain below],prevention,New Haven,Communication with patients/clients,,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,Organization does not receive information from CT DPH,Department of Mental Health and Addiction Services [DMHAS],Other,Yes,Outreach to PWUD,Peer information sharing,Higher overdose burden,Client information sharing,Collaborative
1935,TRUE,2/7/2024 10:25,R_7hYAbQQ35a7eOKu,"Local government,Other [please explain below]",substance use prevention organization,New London,Communication with colleagues,,I don’t receive updates or information about overdoses,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Other [please explain below]",Recovery Coach follow-ups,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,Government and health district,Yes,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,Peer information sharing,Collaborative
2352,TRUE,2/7/2024 11:12,R_7MbC4IQruTeO3Yi,Local health department/district,,New London,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Be on higher alert for an influx of patients,Other [please explain below]",Create awareness to our staff,I am not sure,My organization does not receive external funding for overdose prevention,Government and health district,No,Clinical and operational changes,Peer information sharing,Higher overdose burden,Peer information sharing,Passive
210,TRUE,2/7/2024 13:56,R_3DLBeQ3bDdcL5GE,Other [please explain below],Norwich Human Services,New London,"Communication with colleagues,Insights from harm reduction services",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Other staff,First responders,Paramedics","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",Other,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
169,TRUE,2/7/2024 14:15,R_1Q48KZHM0thhPZ8,Harm reduction organization/SSP,,New London,"Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,Other staff,Department of Public Health [DPH],SSPs and substance use treatment,No,Outreach to PWUD,Platform information,Higher overdose burden,Platform information,Passive
245,TRUE,2/8/2024 7:30,R_6CI3a4jivtOTchD,Local health department/district,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Communication with colleagues,Insights from harm reduction services",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Increased surveillance of affected areas,Other [please explain below]","Our navigators will use the ODMAP data and go to the neighborhoods where the overdose spikes occurred, to conduct outreach.",Organization does not receive information from CT DPH,"Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",Government and health district,No,Outreach to PWUD,Platform information,Higher overdose burden,State alerts,Passive
219,TRUE,2/16/2024 7:54,R_5TXzN4ZM5lnwvNo,Local health department/district,,New Haven,Review of ODMAP or other overdose data [e.g. EpiCenter],,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,I am not sure,Other harm reduction funding,Government and health district,No,Outreach to PWUD,Platform information,Higher overdose burden,Platform information,Passive
198,TRUE,2/16/2024 7:54,R_7FOOir9IyPRKzrW,Other [please explain below],pharmacy,"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","Communication with colleagues,Communication with patients/clients",,Communication with patients/clients,,Other [please explain below],provides medication,Other staff,Other harm reduction funding,Other,No,Other,Client information sharing,Higher overdose burden,Peer information sharing,Collaborative
217,TRUE,2/16/2024 7:58,R_6hna3B3URStLPbP,Substance use treatment program,,New Haven,"Communication with colleagues,Insights from harm reduction services",,,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Be on higher alert for an influx of patients,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols",,"Harm reduction van workers/street outreach,Organization does not receive information from CT DPH",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,Yes,Outreach to PWUD,,Higher overdose burden,Peer information sharing,Collaborative
151,TRUE,2/16/2024 8:03,R_7wkxycdH7kfBKlH,Harm reduction organization/SSP,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,Insights from nearby drug testing sites,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff,Medical providers",Other harm reduction funding,SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
230,TRUE,2/16/2024 8:45,R_3Sc2goaFVxUZa2O,Other [please explain below],Homeless shelter,New Haven,Communication with colleagues,,,,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas",,I am not sure,My organization does not receive external funding for overdose prevention,Other,Yes,Outreach to PWUD,,Higher overdose burden,Peer information sharing,Collaborative
247,TRUE,2/16/2024 9:27,R_6Dqzxg4LWIemKFz,Fire department,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Regular messages [e.g. listserv] from local first responder agency,Text messages about overdoses [not from ODMAP],Insights from harm reduction services",,Regular messages [e.g. listserv] from local first responder agency,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff",My organization does not receive external funding for overdose prevention,First responder,No,Informing the public,Peer information sharing,Higher overdose burden,State alerts,Passive
201,TRUE,2/16/2024 11:57,R_7GBMRn2ZxAev2VF,Harm reduction organization/SSP,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Be on higher alert for an influx of patients,Increased surveillance of affected areas,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,SSPs and substance use treatment,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
238,TRUE,2/16/2024 14:11,R_7scddokYjptMxy3,Hospital,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Phone calls from local health governance,Phone calls about overdoses [not from ODMAP],Communication with colleagues",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Investigate reasons for recent overdoses",,"First responders,Emergency department",Department of Public Health [DPH],First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
170,TRUE,2/17/2024 5:15,R_52okPhfZqIEzo93,State/federal government,,"Fairfield,Litchfield,Tolland,Windham,New Haven,New London,Hartford,Middlesex","Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,I am not sure,Other harm reduction funding,Government and health district,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
182,TRUE,2/18/2024 18:35,R_7E4doih6NfmKDiN,Substance use treatment program,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff,Medical providers","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
176,TRUE,2/19/2024 10:23,R_3IadbGOCfFLPETs,Harm reduction organization/SSP,,"Fairfield,New Haven,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Communication with colleagues,Communication with patients/clients",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff",Department of Mental Health and Addiction Services [DMHAS],SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
220,TRUE,2/19/2024 11:19,R_1j6WarUJeC0VtrJ,Harm reduction organization/SSP,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Communication with colleagues,Communication with patients/clients",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Other staff,Medical providers","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",SSPs and substance use treatment,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
205,TRUE,2/20/2024 6:39,R_5f17noQUH1Dfy8U,Harm reduction organization/SSP,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff",Department of Public Health [DPH],SSPs and substance use treatment,No,Outreach to PWUD,Local alerts,Higher overdose burden,State alerts,Passive
379,TRUE,2/20/2024 7:26,R_5O1VOxnwgSsTYbb,Local health department/district,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from local first responder agency,Communication with colleagues,Communication with patients/clients",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",Department of Public Health [DPH],Government and health district,No,Outreach to PWUD,Platform information,Higher overdose burden,State alerts,Passive
205,TRUE,2/21/2024 11:10,R_7VqEtg7hfMnPR2p,Other [please explain below],mental health treatment,Middlesex,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff",Department of Mental Health and Addiction Services [DMHAS],Other,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Platform information,Passive
175,TRUE,2/21/2024 13:42,R_7Lumwu70L27XxwB,"Local health department/district,Local government",,Middlesex,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,Government and health district,No,Informing the public,State alerts,Lower overdose burden,State alerts,Passive
209,TRUE,2/21/2024 13:43,R_3ybu9xthDfuQizv,"Local ambulance/EMS service,Local health department/district",,Middlesex,"Phone calls from local health governance,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services",,Insights from harm reduction services,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Medical providers,First responders,Paramedics,Emergency department,Emergency dispatch",Department of Public Health [DPH],First responder,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Local alerts,Collaborative
302,TRUE,2/22/2024 4:10,R_7JL2JlDL2oBupi7,Harm reduction organization/SSP,,"Litchfield,Tolland,Windham,New Haven,Hartford,Middlesex","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Phone calls from CT DPH,Phone calls from local health governance,Communication with colleagues,Communication with patients/clients,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Increased surveillance of affected areas,Investigate reasons for recent overdoses,Modify or elevate preemptive overdose prevention protocols,Other [please explain below]",increased sample collection,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Local alerts,Lower overdose burden,State alerts,Passive
196,TRUE,2/22/2024 7:13,R_1pS3YXi5JSuodVl,Hospital,,Middlesex,"Review of ODMAP or other overdose data [e.g. EpiCenter],Communication with colleagues",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Other staff,I am not sure",,First responder,Yes,Outreach to PWUD,State alerts,Lower overdose burden,Platform information,Passive
315,TRUE,2/22/2024 8:57,R_1DSTcTSTjT30lLX,Other [please explain below],community health center,"Fairfield,New Haven,New London,Middlesex","Communication with colleagues,Communication with patients/clients,I don’t receive updates or information about overdoses",,I don’t receive updates or information about overdoses,,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,Medical providers,My organization does not receive external funding for overdose prevention,Other,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,Peer information sharing,Collaborative
261,TRUE,7/25/2024 10:15,R_1HMKmnF9kh7xFWT,Local health department/district,,Hartford,"ODMAP spike alert emails from local health governance [e.g. local health department/health district],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Other staff",Other harm reduction funding,Government and health district,No,Informing the public,Local alerts,Higher overdose burden,Platform information,Passive
116,TRUE,7/31/2024 6:47,R_595MjrYHBsHYXNQ,Local ambulance/EMS service,,Fairfield,Review of ODMAP or other overdose data [e.g. EpiCenter],,Review of ODMAP or other overdose data [e.g. EpiCenter],,Modify or elevate preemptive overdose prevention protocols,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,Platform information,Higher overdose burden,Platform information,Passive
215,TRUE,7/31/2024 14:42,R_7FhMajm8Af04Xch,Local ambulance/EMS service,,"New Haven,Hartford","Communication with colleagues,Communication with patients/clients,I don’t receive updates or information about overdoses",,I don’t receive updates or information about overdoses,,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Be on higher alert for an influx of patients,My organization does not respond to overdoses",,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,Peer information sharing,Collaborative
156,TRUE,7/31/2024 14:43,R_1bZ3vxTyXPQYNjq,Local ambulance/EMS service,,"Litchfield,New Haven,Hartford","Communication with colleagues,I don’t receive updates or information about overdoses",,Communication with colleagues,,"Notify people who use drugs about recent overdoses,Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,Peer information sharing,Lower overdose burden,Peer information sharing,Collaborative
148,TRUE,7/31/2024 14:43,R_7rghnVrQpDqgtQ5,Local ambulance/EMS service,,"New Haven,Hartford",Communication with colleagues,,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
159,TRUE,7/31/2024 14:52,R_1R4GQJw2v6RCfwQ,Local ambulance/EMS service,,"Litchfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Other [please explain below],Organization does nothing (AMR WATERBURY),I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Other,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
592,TRUE,7/31/2024 14:52,R_3S1B6YqEik1EAlk,"Fire department,Local ambulance/EMS service",,"Litchfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,My organization does not respond to overdoses,,I am not sure,,First responder,No,My organization does not respond to overdoses,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
122,TRUE,7/31/2024 14:54,R_6fAHB29l7yO2EWF,Local ambulance/EMS service,,"New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
268,TRUE,7/31/2024 15:12,R_7JnmhbNfXFQ8qJz,Local ambulance/EMS service,,"Litchfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Other [please explain below],"City provides opioid response team, my organization only provides medical care and transport",I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Other,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
225,TRUE,7/31/2024 15:16,R_1edOb8vWynSb8nT,Local ambulance/EMS service,,"Fairfield,Litchfield,New Haven,Hartford","Communication with colleagues,Communication with patients/clients,I don’t receive updates or information about overdoses",,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Medical providers,First responders,Paramedics,Emergency department,Emergency dispatch",Department of Public Health [DPH],First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
143,TRUE,7/31/2024 15:46,R_6wpfledUpeFIc90,"Fire department,Local ambulance/EMS service",,"New Haven,Hartford,Middlesex",Communication with colleagues,,Communication with patients/clients,,"Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],I am not sure",Department of Public Health [DPH],First responder,Yes,Outreach to PWUD,Client information sharing,Higher overdose burden,Peer information sharing,Collaborative
152,TRUE,7/31/2024 16:10,R_6dpBS6FSFa0FXZD,Local ambulance/EMS service,,"New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Other [please explain below],No active response other than responding to 911 call as provider ,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Other,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
